Cell ID,PseudoTime,Time,Experiment
E0_1,0.0,1.0,0
E0_2,0.0011135857461024498,2.0,0
E0_3,0.0022271714922048997,3.0,0
E0_4,0.0033407572383073497,4.0,0
E0_5,0.004454342984409799,5.0,0
E0_6,0.005567928730512249,6.0,0
E0_7,0.0066815144766146995,7.0,0
E0_8,0.0077951002227171495,8.0,0
E0_9,0.008908685968819599,9.0,0
E0_10,0.01002227171492205,10.0,0
E0_11,0.011135857461024499,11.0,0
E0_12,0.012249443207126948,12.0,0
E0_13,0.013363028953229399,13.0,0
E0_14,0.014476614699331848,14.0,0
E0_15,0.015590200445434299,15.0,0
E0_16,0.01670378619153675,16.0,0
E0_17,0.017817371937639197,17.0,0
E0_18,0.01893095768374165,18.0,0
E0_19,0.0200445434298441,19.0,0
E0_20,0.021158129175946547,20.0,0
E0_21,0.022271714922048998,21.0,0
E0_22,0.02338530066815145,22.0,0
E0_23,0.024498886414253896,23.0,0
E0_24,0.025612472160356347,24.0,0
E0_25,0.026726057906458798,25.0,0
E0_26,0.02783964365256125,26.0,0
E0_27,0.028953229398663696,27.0,0
E0_28,0.030066815144766147,28.0,0
E0_29,0.031180400890868598,29.0,0
E0_30,0.03229398663697105,30.0,0
E0_31,0.0334075723830735,31.0,0
E0_32,0.034521158129175944,32.0,0
E0_33,0.035634743875278395,33.0,0
E0_34,0.036748329621380846,34.0,0
E0_35,0.0378619153674833,35.0,0
E0_36,0.03897550111358575,36.0,0
E0_37,0.0400890868596882,37.0,0
E0_38,0.04120267260579064,38.0,0
E0_39,0.042316258351893093,39.0,0
E0_40,0.043429844097995544,40.0,0
E0_41,0.044543429844097995,41.0,0
E0_42,0.045657015590200446,42.0,0
E0_43,0.0467706013363029,43.0,0
E0_44,0.04788418708240535,44.0,0
E0_45,0.04899777282850779,45.0,0
E0_46,0.05011135857461024,46.0,0
E0_47,0.051224944320712694,47.0,0
E0_48,0.052338530066815145,48.0,0
E0_49,0.053452115812917596,49.0,0
E0_50,0.05456570155902005,50.0,0
E0_51,0.0556792873051225,51.0,0
E0_52,0.05679287305122494,52.0,0
E0_53,0.05790645879732739,53.0,0
E0_54,0.05902004454342984,54.0,0
E0_55,0.060133630289532294,55.0,0
E0_56,0.061247216035634745,56.0,0
E0_57,0.062360801781737196,57.0,0
E0_58,0.06347438752783964,58.0,0
E0_59,0.0645879732739421,59.0,0
E0_60,0.06570155902004454,60.0,0
E0_61,0.066815144766147,61.0,0
E0_62,0.06792873051224944,62.0,0
E0_63,0.06904231625835189,63.0,0
E0_64,0.07015590200445435,64.0,0
E0_65,0.07126948775055679,65.0,0
E0_66,0.07238307349665925,66.0,0
E0_67,0.07349665924276169,67.0,0
E0_68,0.07461024498886415,68.0,0
E0_69,0.0757238307349666,69.0,0
E0_70,0.07683741648106904,70.0,0
E0_71,0.0779510022271715,71.0,0
E0_72,0.07906458797327394,72.0,0
E0_73,0.0801781737193764,73.0,0
E0_74,0.08129175946547884,74.0,0
E0_75,0.08240534521158129,75.0,0
E0_76,0.08351893095768374,76.0,0
E0_77,0.08463251670378619,77.0,0
E0_78,0.08574610244988864,78.0,0
E0_79,0.08685968819599109,79.0,0
E0_80,0.08797327394209355,80.0,0
E0_81,0.08908685968819599,81.0,0
E0_82,0.09020044543429843,82.0,0
E0_83,0.09131403118040089,83.0,0
E0_84,0.09242761692650334,84.0,0
E0_85,0.0935412026726058,85.0,0
E0_86,0.09465478841870824,86.0,0
E0_87,0.0957683741648107,87.0,0
E0_88,0.09688195991091314,88.0,0
E0_89,0.09799554565701558,89.0,0
E0_90,0.09910913140311804,90.0,0
E0_91,0.10022271714922049,91.0,0
E0_92,0.10133630289532294,92.0,0
E0_93,0.10244988864142539,93.0,0
E0_94,0.10356347438752785,94.0,0
E0_95,0.10467706013363029,95.0,0
E0_96,0.10579064587973273,96.0,0
E0_97,0.10690423162583519,97.0,0
E0_98,0.10801781737193764,98.0,0
E0_99,0.1091314031180401,99.0,0
E0_100,0.11024498886414254,100.0,0
E0_101,0.111358574610245,101.0,0
E0_102,0.11247216035634744,102.0,0
E0_103,0.11358574610244988,103.0,0
E0_104,0.11469933184855234,104.0,0
E0_105,0.11581291759465479,105.0,0
E0_106,0.11692650334075724,106.0,0
E0_107,0.11804008908685969,107.0,0
E0_108,0.11915367483296214,108.0,0
E0_109,0.12026726057906459,109.0,0
E0_110,0.12138084632516703,110.0,0
E0_111,0.12249443207126949,111.0,0
E0_112,0.12360801781737193,112.0,0
E0_113,0.12472160356347439,113.0,0
E0_114,0.12583518930957685,114.0,0
E0_115,0.12694877505567928,115.0,0
E0_116,0.12806236080178174,116.0,0
E0_117,0.1291759465478842,117.0,0
E0_118,0.13028953229398663,118.0,0
E0_119,0.13140311804008908,119.0,0
E0_120,0.13251670378619154,120.0,0
E0_121,0.133630289532294,121.0,0
E0_122,0.13474387527839643,122.0,0
E0_123,0.1358574610244989,123.0,0
E0_124,0.13697104677060135,124.0,0
E0_125,0.13808463251670378,125.0,0
E0_126,0.13919821826280623,126.0,0
E0_127,0.1403118040089087,127.0,0
E0_128,0.14142538975501115,128.0,0
E0_129,0.14253897550111358,129.0,0
E0_130,0.14365256124721604,130.0,0
E0_131,0.1447661469933185,131.0,0
E0_132,0.14587973273942093,132.0,0
E0_133,0.14699331848552338,133.0,0
E0_134,0.14810690423162584,134.0,0
E0_135,0.1492204899777283,135.0,0
E0_136,0.15033407572383073,136.0,0
E0_137,0.1514476614699332,137.0,0
E0_138,0.15256124721603564,138.0,0
E0_139,0.15367483296213807,139.0,0
E0_140,0.15478841870824053,140.0,0
E0_141,0.155902004454343,141.0,0
E0_142,0.15701559020044542,142.0,0
E0_143,0.15812917594654788,143.0,0
E0_144,0.15924276169265034,144.0,0
E0_145,0.1603563474387528,145.0,0
E0_146,0.16146993318485522,146.0,0
E0_147,0.16258351893095768,147.0,0
E0_148,0.16369710467706014,148.0,0
E0_149,0.16481069042316257,149.0,0
E0_150,0.16592427616926503,150.0,0
E0_151,0.16703786191536749,151.0,0
E0_152,0.16815144766146994,152.0,0
E0_153,0.16926503340757237,153.0,0
E0_154,0.17037861915367483,154.0,0
E0_155,0.1714922048997773,155.0,0
E0_156,0.17260579064587972,156.0,0
E0_157,0.17371937639198218,157.0,0
E0_158,0.17483296213808464,158.0,0
E0_159,0.1759465478841871,159.0,0
E0_160,0.17706013363028952,160.0,0
E0_161,0.17817371937639198,161.0,0
E0_162,0.17928730512249444,162.0,0
E0_163,0.18040089086859687,163.0,0
E0_164,0.18151447661469933,164.0,0
E0_165,0.18262806236080179,165.0,0
E0_166,0.18374164810690424,166.0,0
E0_167,0.18485523385300667,167.0,0
E0_168,0.18596881959910913,168.0,0
E0_169,0.1870824053452116,169.0,0
E0_170,0.18819599109131402,170.0,0
E0_171,0.18930957683741648,171.0,0
E0_172,0.19042316258351893,172.0,0
E0_173,0.1915367483296214,173.0,0
E0_174,0.19265033407572382,174.0,0
E0_175,0.19376391982182628,175.0,0
E0_176,0.19487750556792874,176.0,0
E0_177,0.19599109131403117,177.0,0
E0_178,0.19710467706013363,178.0,0
E0_179,0.19821826280623608,179.0,0
E0_180,0.19933184855233854,180.0,0
E0_181,0.20044543429844097,181.0,0
E0_182,0.20155902004454343,182.0,0
E0_183,0.2026726057906459,183.0,0
E0_184,0.20378619153674832,184.0,0
E0_185,0.20489977728285078,185.0,0
E0_186,0.20601336302895323,186.0,0
E0_187,0.2071269487750557,187.0,0
E0_188,0.20824053452115812,188.0,0
E0_189,0.20935412026726058,189.0,0
E0_190,0.21046770601336304,190.0,0
E0_191,0.21158129175946547,191.0,0
E0_192,0.21269487750556793,192.0,0
E0_193,0.21380846325167038,193.0,0
E0_194,0.21492204899777284,194.0,0
E0_195,0.21603563474387527,195.0,0
E0_196,0.21714922048997773,196.0,0
E0_197,0.2182628062360802,197.0,0
E0_198,0.21937639198218262,198.0,0
E0_199,0.22048997772828507,199.0,0
E0_200,0.22160356347438753,200.0,0
E0_201,0.22271714922049,201.0,0
E0_202,0.22383073496659242,202.0,0
E0_203,0.22494432071269488,203.0,0
E0_204,0.22605790645879734,204.0,0
E0_205,0.22717149220489977,205.0,0
E0_206,0.22828507795100222,206.0,0
E0_207,0.22939866369710468,207.0,0
E0_208,0.23051224944320714,208.0,0
E0_209,0.23162583518930957,209.0,0
E0_210,0.23273942093541203,210.0,0
E0_211,0.23385300668151449,211.0,0
E0_212,0.23496659242761692,212.0,0
E0_213,0.23608017817371937,213.0,0
E0_214,0.23719376391982183,214.0,0
E0_215,0.2383073496659243,215.0,0
E0_216,0.23942093541202672,216.0,0
E0_217,0.24053452115812918,217.0,0
E0_218,0.24164810690423164,218.0,0
E0_219,0.24276169265033407,219.0,0
E0_220,0.24387527839643652,220.0,0
E0_221,0.24498886414253898,221.0,0
E0_222,0.24610244988864144,222.0,0
E0_223,0.24721603563474387,223.0,0
E0_224,0.24832962138084633,224.0,0
E0_225,0.24944320712694878,225.0,0
E0_226,0.2505567928730512,226.0,0
E0_227,0.2516703786191537,227.0,0
E0_228,0.25278396436525613,228.0,0
E0_229,0.25389755011135856,229.0,0
E0_230,0.25501113585746105,230.0,0
